Text: материна, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: сумчатые, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: нет, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: так, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: как, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: потом, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: в, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: ходе, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: эволюции, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: другие, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: млекопитающие, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: из, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: вытеснили, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: ав, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: основе, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: всей, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: закономерности, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: расселения, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: сум, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: научить, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: на, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: геометрическом, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: теории, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: о, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: на, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: геометрическом, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: теории, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: о, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
